Name,state,summit_elev,vertical_drop,base_elev,trams,fastEight,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend,projectedDaysOpen,NightSkiing_ac,clusters
Alpine Valley Ski Area,Michigan,500,240,126,0,0,0,0,1,2,5,6,14,25,3,0.2,100,100,115.1039427,57,20,39,47,120.0530035,100,1
Apple Mountain,Michigan,820,220,600,0,0,0,0,1,0,0,5,6,12,0,1.433230769,80,42,115.1039427,58,52,35,35,120.0530035,80,1
Big Powderhorn Mountain,Michigan,1800,600,1200,0,0,0,0,0,0,9,1,10,45,2,1,253,228,100,55,214,69,69,108,0,1
Bittersweet Ski Area,Michigan,850,350,450,0,0,0,0,1,7,0,4,12,20,2,0.2,100,100,80,36,90,38,48,120.0530035,100,1
Big Snow Resort - Blackjack,Michigan,850,465,385,0,0,0,0,0,0,4,2,6,26,2,1,170,86,95,42,210,49,65,115,0,1
Boyne Highlands,Michigan,1290,552,745,0,0,0,1,3,4,0,2,10,55,4,1.2,435,400,97,56,140,78,98,120,150,1
Boyne Mountain Resort,Michigan,1120,500,620,0,0,1,0,4,3,2,2,12,60,7,1,415,380,122,71,140,57.91695652,64.16681004,130,200,1
Caberfae Peaks,Michigan,1569,485,1060,0,0,0,0,1,2,1,1,5,34,2,1.2,200,200,118,82,140,39,49,130,150,1
Cannonsburg,Michigan,1100,250,850,0,0,0,0,1,1,1,7,10,21,5,0.1,100,0,100,54,100,30,37,100,0,1
Crystal Mountain,Michigan,1132,375,757,0,0,0,1,3,2,0,2,8,58,3,0.3,102,96,120,63,132,54,64,135,56,1
Big Snow Resort - Indianhead Mountain,Michigan,1935,638,1297,0,0,0,0,1,1,5,2,9,32,2,1,240,150,120,60,204,49,49,120,0,1
Marquette Mountain,Michigan,1357,600,757,0,0,0,0,0,1,2,1,4,35,3,0.7,169,143,139,60,210,57.91695652,64.16681004,135,89,1
Mont Ripley,Michigan,1140,440,700,0,0,0,0,0,0,2,2,4,25,2,0.8,112,112,114,83,275,49,49,100,100,1
Mount Bohemia,Michigan,1500,900,600,0,0,0,0,0,1,1,0,2,48.21472393,0,2.3,585,0,83,19,273,68,68,100,0,1
Mt. Brighton,Michigan,1330,230,1100,0,0,0,0,2,3,0,8,13,25,5,0.1,130,130,111,59,60,52,59,100,130,1
Mt. Holiday Ski Area,Michigan,440,200,240,0,0,0,0,0,0,2,2,4,12,0,0.1,45,45,100,70,120,22,34,90,45,1
Mount Holly,Michigan,1105,350,755,0,0,0,1,2,3,1,6,13,19,0,0.1,100,100,115.1039427,63,42,37,45,102,100,1
Mulligan's Hollow Ski Bowl,Michigan,700,130,570,0,0,0,0,0,0,0,5,5,6,0,0.2,10,10,115.1039427,19,60,15,20,120.0530035,10,1
Norway Mountain,Michigan,1335,500,835,0,0,0,0,0,1,2,3,6,17,1,1.4,186,186,110,45,100,57.91695652,45,110,40,1
Nubs Nob Ski Area,Michigan,1338,427,911,0,0,0,0,3,4,2,1,10,53,3,0.9,248,248,133,61,135,65,85,130,160,1
Pine Knob Ski Resort,Michigan,1308,300,1009,0,0,0,0,0,0,0,6,6,14,3,1,80,80,115.1039427,2019,185.3164557,49,57,120.0530035,0,1
Pine Mountain,Michigan,1650,500,1150,0,0,0,0,0,1,2,1,4,28,1,0.5,160,160,110,80,60,57.91695652,45,126,80,1
Schuss Mountain at Shanty Creek,Michigan,1125,450,675,0,0,0,0,5,0,0,3,8,42,3,1,70,70,94,57,160,58,78,111,70,1
Ski Brule,Michigan,1860,500,1360,0,0,0,0,0,0,5,7,12,17,3,1,150,150,164,62,150,49,49,165,40,1
Snow Snake Mountain Ski Area,Michigan,1230,210,1020,0,0,0,0,0,1,0,5,6,12,2,0,40,40,115.1039427,72,185.3164557,30,35,120.0530035,40,1
Swiss Valley,Michigan,1200,225,975,0,0,0,0,2,1,0,4,7,11,2,0.1,60,60,89,51,60,32,42,80,60,1
The Homestead,Michigan,900,320,580,0,0,0,0,0,2,1,2,5,15,1,0.2,16,16,47,34,150,50,50,42,16,1
Timber Ridge,Michigan,850,250,600,0,0,0,0,1,1,2,4,8,16,2,0.3,50,50,80,58,185.3164557,35,45,120.0530035,50,1
Treetops Resort,Michigan,1345,225,1120,0,0,0,0,0,3,0,2,5,23,3,0.2,80,80,63,65,175,57.91695652,64.16681004,101,80,1
Afton Alps,Minnesota,1530,350,1180,0,0,0,0,1,3,14,4,22,48,5,0.5,250,250,135,56,60,55,60,135,250,1
Andes Tower Hills Ski Area,Minnesota,1620,290,1330,0,0,0,0,1,2,0,3,6,15,2,0.2,35,35,100,38,55,45,45,110,35,1
Buck Hill,Minnesota,1225,309,919,0,0,0,0,2,1,0,5,8,16,0,0.2,45,45,115,65,60,34,47,112,45,1
Buena Vista Ski Area,Minnesota,1510,230,1280,0,0,0,0,0,2,2,2,6,17,0,0.3,30,30,57,70,78,44,44,60,30,1
Coffee Mill Ski & Snowboard Resort,Minnesota,1150,425,725,0,0,0,0,0,0,2,1,3,14,1,1,40,35,57,39,48,23,37,56,35,1
Elm Creek Winter Recreation Area,Minnesota,928,60,868,0,0,0,0,0,0,0,3,3,3,0,1,15,20,105,13,45,17,17,102,15,1
Giants Ridge Resort,Minnesota,1972,500,1472,0,0,0,1,1,1,2,2,7,35,2,0.8,202,202,120,35,85,49,58,125,121,1
Hyland Ski & Snowboard Area,Minnesota,1075,175,900,0,0,0,0,2,1,0,5,8,14,1,1,35,35,110,61,55,35.34,35.34,115,35,1
Lutsen Mountains,Minnesota,1688,825,800,1,0,1,0,0,1,4,1,8,62,2,2,393,231,135,71,120,84,84,127,0,1
Mount Kato Ski Area,Minnesota,540,240,300,0,0,0,0,5,0,3,2,10,19,4,1,55,55,115,43,50,34,46,120,50,1
Powder Ridge Ski Area,Minnesota,790,300,500,0,0,0,0,1,0,2,3,6,15,4,1.433230769,60,60,97,58,45,36,48,113,60,1
Spirit Mountain,Minnesota,1320,700,620,0,0,0,1,1,2,1,2,7,22,3,1,175,175,100,45,100,59,59,125,144,1
Welch Village,Minnesota,1060,360,700,0,0,0,0,3,1,4,2,10,50,1,0.8,125,125,114,54,45,54,60,122,100,1
Wild Mountain Ski & Snowboard Area,Minnesota,1113,300,813,0,0,0,0,4,0,0,4,8,26,4,0.9,100,100,130,47,50,55,55,140,100,1
Hidden Valley Ski Area,Missouri,2566,310,2316,0,0,0,0,2,2,0,3,7,17,0,0.1,30,30,115.1039427,37,26,49,49,120.0530035,17,1
Snow Creek,Missouri,1100,300,800,0,0,0,0,0,2,1,2,5,14,2,0.3,30,30,69,33,20,37,47,85,30,1
Big Sky Resort,Montana,11166,4350,7500,1,1,2,5,3,7,5,12,36,317,8,6,5800,400,144,46,400,57.91695652,64.16681004,144,0,0
Blacktail Mountain Ski Area,Montana,6676,1440,5236,0,0,0,0,0,1,2,1,4,27,0,0.7,1000,0,115.1039427,21,250,42,42,120.0530035,0,2
Bridger Bowl,Montana,8700,2600,6100,0,0,0,0,1,6,1,3,11,105,2,1.5,2000,100,122,64,350,63,63,133,0,2
Discovery Ski Area,Montana,8150,2380,5770,0,0,0,0,0,5,2,1,8,74,1,1.5,2400,25,116,46,225,49,49,116,0,2
Great Divide,Montana,7330,1580,5750,0,0,0,0,0,0,5,1,6,110,6,3,1600,150,94,78,180,48,48,100,100,2
Lost Trail - Powder Mtn,Montana,8200,1800,6400,0,0,0,0,0,0,5,3,8,69,2,2.5,1800,0,84,81,325,46,46,80,0,2
Maverick Mountain,Montana,8520,2020,6500,0,0,0,0,0,0,1,1,2,22,0,1.3,255,0,115.1039427,83,160,39,39,120.0530035,0,2
Montana Snowbowl,Montana,7600,2600,5000,0,0,0,0,0,0,2,2,4,37,0,1.2,950,20,115.1039427,58,300,50,50,120.0530035,10,2
Red Lodge Mountain,Montana,9416,2400,7016,0,0,0,2,0,1,3,1,7,70,2,2.5,1635,496,142,59,250,67,67,136,0,0
Showdown Montana,Montana,8200,1400,6800,0,0,0,0,0,1,2,1,4,36,1,1.8,640,0,86,83,250,47,47,85,0,2
Teton Pass Ski Resort,Montana,7200,1010,6190,0,0,0,0,0,0,1,2,3,43,1,3,330,0,40,54,250,39,39,150,0,2
Big Mountain Resort,Montana,6817,2353,4464,0,0,0,3,2,6,0,3,14,105,4,3.3,3000,600,123,72,333,81,81,123,600,2
Diamond Peak,Nevada,8540,1840,6700,0,0,0,1,2,0,3,1,7,30,3,2.5,655,492,100,53,300,89,99,122,0,2
Elko SnoBowl,Nevada,7000,700,6300,0,0,0,0,0,0,1,1,2,10,0,1,60,2,19,23,24,20,20,30,0,2
Lee Canyon,Nevada,11289,860,8510,0,0,0,0,2,1,0,0,3,24,1,0.3,195,50,144,56,161,70,70,150,0,0
Mt. Rose - Ski Tahoe,Nevada,9700,1800,8260,0,0,2,0,2,2,0,2,8,65,5,2.5,1200,330,152,55,350,135,135,150,0,0
Attitash,New Hampshire,2350,1750,600,0,0,0,2,1,3,2,1,9,68,3,3,311,240,115,54,120,79,89,130,0,1
Black Mountain,New Hampshire,2350,1100,1250,0,0,0,0,0,1,1,3,5,45,0,1.6,143,120,110,84,125,45,59,107,0,1
Bretton Woods,New Hampshire,3100,1500,1600,0,0,0,4,1,1,0,3,9,63,2,2,464,427,180,46,200,85,99,180,45,1
Cannon Mountain,New Hampshire,4080,2180,1900,1,0,0,1,2,3,1,3,11,97,3,2.3,285,192,124,81,160,79,79,143,0,1
Cranmore Mountain Resort,New Hampshire,2000,1200,600,0,0,0,1,1,2,1,2,7,57,4,1,200,192,107,82,150,57.91695652,64.16681004,128,0,1
Crotched Mountain,New Hampshire,2066,1016,1050,0,0,0,1,1,1,1,1,5,25,3,1.2,100,100,105,16,105,55,69,100,100,1
Dartmouth Skiway,New Hampshire,1943,969,974,0,0,0,0,1,0,1,2,4,28,1,1.1,107,54,104,63,100,50,50,105,0,1
Gunstock,New Hampshire,2300,1400,900,0,0,0,1,2,2,0,1,6,55,4,1.5,227,176,106,82,120,80,92,120.0530035,60,1
King Pine,New Hampshire,850,350,500,0,0,0,0,0,3,0,3,6,17,2,0.3,48,45,105,57,120,42,58,107,23,1
Loon Mountain,New Hampshire,3050,2100,950,1,0,0,3,1,1,3,2,11,61,6,2.5,370,322,149,53,160,57.91695652,64.16681004,144,0,1
Mount Sunapee,New Hampshire,2743,1510,1233,0,0,0,2,1,2,1,4,10,66,4,0.8,232,215,130,71,100,83,93,136,0,1
Pats Peak,New Hampshire,1460,770,690,0,0,0,0,0,4,2,5,11,28,3,1.5,115,115,109,56,100,58,72,112,93,1
Ragged Mountain Resort,New Hampshire,2250,1250,1000,0,0,1,1,0,1,0,3,6,57,3,0.7,250,200,115.1039427,54,100,74,84,140,0,1
Waterville Valley,New Hampshire,4004,2020,1984,0,0,0,2,0,2,3,4,11,62,4,1.9,265,220,142,54,148,79,93,142,0,1
Whaleback Mountain,New Hampshire,1800,700,1100,0,0,0,0,0,0,1,3,4,30,1,1,85,60,105,64,110,30,45,105,55,1
Wildcat Mountain,New Hampshire,4062,2112,1950,0,0,0,1,0,3,0,1,5,48,0,2.8,225,200,156,61,200,79,89,150,0,1
Campgaw Mountain,New Jersey,726,274,450,0,0,0,0,0,0,2,3,5,12,1,0.3,23,23,80,58,45,57.91695652,64.16681004,120.0530035,14,1
Mountain Creek Resort,New Jersey,1480,1040,440,1,0,0,2,2,1,1,3,10,46,3,2,167,167,90,54,65,79.99,79.99,100,167,1
Angel Fire Resort,New Mexico,10677,2077,8600,0,0,0,2,0,0,3,2,7,81,3,3,560,230,101,53,210,77,77,101,50,0
Enchanted Forest Ski Area,New Mexico,10078,400,9820,0,0,0,0,0,0,0,0,0,33,0,2.5,600,0,130,34,240,20,20,140,0,0
Pajarito Mountain Ski Area,New Mexico,10441,1410,9031,0,0,0,0,1,1,3,1,6,45,2,0.6,750,35,89,62,163,49,49,117,0,0
Red River,New Mexico,10350,1600,8750,0,0,0,0,1,3,1,2,7,63,3,2.5,209,0,110,60,214,79,79,120.0530035,0,0
Sandia Peak,New Mexico,10378,1700,8678,0,0,0,0,0,0,4,1,5,39,1,2,200,30,32,82,100,55,55,38,0,0
Sipapu Ski Resort,New Mexico,9255,1055,8200,0,0,0,0,1,2,0,3,6,42,4,0.5,200,140,127,67,190,47,47,143,0,0
Ski Apache,New Mexico,11500,1900,9600,1,0,0,0,2,6,0,2,11,55,3,2,750,270,133,58,185,74,74,124,0,0
Ski Santa Fe,New Mexico,12075,1725,10350,0,0,0,0,1,2,2,2,7,83,1,3,660,275,107,73,225,80,80,130,0,0
Taos Ski Valley,New Mexico,12481,3281,9200,1,0,0,1,3,4,1,4,14,111,1,5,1294,647,137,64,300,110,110,136,0,0
Belleayre,New York,3429,1404,2025,1,0,0,1,1,1,2,2,8,50,2,2.2,175,168,154,70,130,60,72,150,0,1
Brantling Ski Slopes,New York,850,250,600,0,0,0,0,0,0,0,5,5,10,0,0.1,20,16,115.1039427,19,110,32,32,120.0530035,0,1
Bristol Mountain,New York,2200,1200,1000,0,0,0,2,1,1,1,1,6,34,3,2,160,148,129,55,60,65,76,129,154,1
Buffalo Ski Club Ski Area,New York,3429,500,2025,0,0,0,0,0,0,2,4,6,43,1,1.433230769,225,150,115.1039427,12,185.3164557,35,50,120.0530035,100,1
Catamount,New York,2000,1000,1000,0,0,0,0,1,1,2,3,7,36,5,2,133,130,100,80,108,38,69,90,55,1
Dry Hill Ski Area,New York,950,300,650,0,0,0,0,0,0,1,2,3,7,1,0.2,35,26,115.1039427,55,125,57.91695652,35,120.0530035,26,1
Gore Mountain,New York,3600,2537,998,1,0,0,2,2,3,2,4,14,110,7,4.5,439,338,142,55,150,80,88,120.0530035,15,1
Greek Peak,New York,2100,952,1148,0,0,0,0,1,1,4,2,8,56,4,1.5,220,184,110,62,122,49,63.2,113,175,1
Holiday Mountain,New York,1550,400,1150,0,0,0,0,1,0,1,2,4,9,0,0.4,37,37,75,60,50,27,42,85,37,1
Holiday Valley,New York,2250,750,1500,0,0,0,3,8,0,0,2,13,60,5,1,290,266,116,62,180,65,78,129,189,1
Holimont Ski Area,New York,2260,700,1560,0,0,0,1,1,2,3,1,8,53,3,1.5,135,135,110,57,180,62,75,119,0,1
Hunt Hollow Ski Club,New York,2030,825,1000,0,0,0,0,0,1,1,1,3,19,1,1,400,400,115.1039427,52,130,48,58,75,400,1
Hunter Mountain,New York,3200,1600,1600,0,0,2,1,2,2,2,4,13,67,4,2,320,320,148,59,120,79,89,155,0,1
Kissing Bridge,New York,1700,550,1150,0,0,0,0,2,1,4,3,10,39,5,0.5,700,550,103,59,120,40,60,100,650,1
Labrador Mt.,New York,1825,700,1125,0,0,0,0,0,1,2,1,4,23,1,1,250,237,115.1039427,62,125,59,59,100,180,1
Maple Ski Ridge,New York,1200,450,750,0,0,0,0,0,1,1,1,3,10,0,0.3,25,25,115.1039427,57,185.3164557,26,38,120.0530035,20,1
McCauley Mountain Ski Center,New York,2250,633,1563,0,0,0,0,0,0,1,4,5,23,1,0.3,70,55,105,61,200,20,30,105,0,1
Mount Peter Ski Area,New York,1250,450,750,0,0,0,0,1,0,2,2,5,14,1,1,69,69,100,83,50,35,54,100,69,1
Oak Mountain,New York,2400,650,1750,0,0,0,0,1,0,0,3,4,22,1,1.2,46,18,115.1039427,71,120,40,40,120.0530035,12,1
Peek'n Peak,New York,1800,400,1400,0,0,0,0,0,8,0,2,10,27,4,2.4,110,110,110,55,225,49,63,120.0530035,110,1
Plattekill Mountain,New York,3500,1100,2400,0,0,0,0,0,1,1,2,4,38,1,2,110,75,65,26,175,50,67,65,0,1
Royal Mountain Ski Area,New York,1800,550,1250,0,0,0,0,0,0,3,0,3,14,0,0.3,35,28,115.1039427,63,90,45,45,120.0530035,0,1
Snow Ridge,New York,2000,650,1350,0,0,0,0,0,0,4,2,6,21,2,0.8,130,65,73,74,230,38,48,100,40,1
Song Mountain,New York,1940,700,1240,0,0,0,0,0,1,1,3,5,24,0,0.4,93,70,90,55,125,59,59,122,70,1
Swain,New York,1970,650,1320,0,0,0,0,3,0,1,1,5,35,3,1,130,90,102,72,120,49,59,100,80,1
Thunder Ridge,New York,1270,500,770,0,0,0,0,0,1,2,3,6,30,0,0.4,100,100,121,60,185.3164557,57.91695652,57,121,100,1
Titus Mountain,New York,2025,1200,825,0,0,0,0,0,2,6,2,10,50,3,2,200,150,101,59,150,39,49,100,70,1
Toggenburg Mountain,New York,2000,700,1300,0,0,0,0,0,1,1,3,5,22,2,0.4,85,0,115.1039427,66,130,55,55,122,73,1
West Mountain,New York,1470,1010,460,0,0,0,0,0,1,2,2,5,29,1,0.6,124,105,115.1039427,58,80,49,59,120,105,1
Whiteface Mountain Resort,New York,4650,3430,1220,1,0,0,1,1,2,5,2,12,86,5,2.1,288,220,122,61,168,96,96,141,0,1
Willard Mountain,New York,1415,505,910,0,0,0,0,0,0,2,3,5,16,0,0.4,50,35,85,19,80,46,46,120,35,1
Windham Mountain,New York,3100,1600,1500,0,0,1,2,0,3,1,5,12,54,6,2,285,280,123,59,105,85,95,130,56,1
Woods Valley Ski Area,New York,1400,500,900,0,0,0,0,0,0,2,4,6,21,0,0.3,25,16,115.1039427,55,180,31,39,120.0530035,15,1
Appalachian Ski Mountain,North Carolina,4000,365,3635,0,0,0,0,2,0,1,2,5,12,3,0.5,27,27,100,57,50,40,64,100,27,1
Cataloochee Ski Area,North Carolina,5400,740,4660,0,0,0,0,1,1,1,2,5,18,2,1,50,50,141,58,50,43,70,108,50,2
Sapphire Valley,North Carolina,3450,200,3200,0,0,0,0,1,0,0,2,3,48.21472393,1,1,8,8,53,55,24,40,43,60,8,1
Beech Mountain Resort,North Carolina,5506,830,4675,0,0,0,0,3,0,3,2,8,17,1,1,95,95,98,52,31,41,68,120.0530035,95,2
Sugar Mountain Resort,North Carolina,5300,1200,4100,0,0,1,0,0,1,4,2,8,21,1,1.5,125,125,114,50,77,45,75,120,95,2
Wolf Ridge Ski Resort,North Carolina,4700,720,4000,0,0,0,0,1,0,1,2,4,15,1,0.6,65,65,115.1039427,49,65,42,65,100,60,2
Alpine Valley,Ohio,1500,230,1260,0,0,0,0,1,2,1,1,5,11,1,0.2,72,72,105,53,120,43,43,120.0530035,72,1
Boston Mills,Ohio,871,264,631,0,0,0,0,0,4,2,2,8,7,2,0.3,40,40,92,56,51,44,44,110,40,1
Brandywine,Ohio,871,240,631,0,0,0,0,2,7,2,5,16,11,2,0.3,85,85,92,56,51,44,44,110,85,1
Mad River Mountain,Ohio,1460,300,1160,0,0,0,0,1,2,3,6,12,20,4,0.5,144,144,99,57,36,39,44,90,144,1
Snow Trails,Ohio,1475,301,1174,0,0,0,0,0,4,2,3,9,17,3,0.2,80,80,101,58,50,41,52,70,80,1
Anthony Lakes Mountain Resort,Oregon,8000,900,7100,0,0,0,0,0,1,0,2,3,21,2,1.5,1100,0,75,56,300,40,40,80,0,2
Cooper Spur,Oregon,4000,350,3500,0,0,0,0,0,0,1,1,2,10,0,0.1,50,0,78,66,100,39,39,90,0,1
Hoodoo Ski Area,Oregon,5703,1035,4668,0,0,0,0,3,1,1,0,5,34,0,0.4,806,0,80,81,350,59,59,108,200,2
Mt. Ashland,Oregon,7533,1150,6383,0,0,0,0,0,2,2,1,5,23,2,1,220,0,94,55,300,45,52,92,40,2
Mt. Bachelor,Oregon,9065,3365,5700,0,0,0,8,0,3,0,0,11,101,5,4,4318,20,185,61,462,99,99,185,0,0
Mt. Hood Meadows,Oregon,7300,2777,4523,0,0,0,6,0,0,5,2,13,85,6,3,2150,0,118,51,430,57.91695652,64.16681004,160,170,2
Mt. Hood Skibowl,Oregon,5100,1500,3600,0,0,0,0,0,0,4,5,9,65,2,3,960,29,125,82,300,70,70,144,317,2
Spout Springs,Oregon,5500,610,4850,0,0,0,0,0,0,2,2,4,14,0,0.1,200,0,117,19,118,57.91695652,64.16681004,125,100,2
Timberline Lodge,Oregon,8540,3690,6000,0,0,0,5,0,1,1,1,8,41,5,2,1415,0,305,82,550,57.91695652,64.16681004,305,300,2
Willamette Pass,Oregon,6683,1563,5120,0,0,1,0,0,3,0,1,5,29,0,2.1,555,60,3,78,430,60,60,100,0,2
Bear Creek Mountain Resort,Pennsylvania,1100,510,600,0,0,0,0,3,1,0,2,6,23,3,1,86,86,91,52,30,50,60,90,86,1
Ski Big Bear,Pennsylvania,1250,650,600,0,0,0,0,0,0,4,2,6,18,1,1.5,26,26,75,43,69,50,62,75,26,1
Big Boulder,Pennsylvania,2175,600,1700,0,0,0,0,0,2,5,1,8,16,8,1.433230769,55,55,76,72,50,50,65,95,55,1
Blue Knob,Pennsylvania,3146,1072,2074,0,0,0,0,0,2,2,2,6,34,1,2,100,84,87,56,120,43,68,105,42,1
Blue Mountain Resort,Pennsylvania,1600,1082,460,0,0,1,1,1,1,3,9,16,39,5,1.2,164,164,122,42,33,55,65,112,164,1
Camelback Mountain Resort,Pennsylvania,2100,800,1250,0,0,0,2,0,3,5,6,16,37,5,1,166,166,100,56,50,55,70,100,160,1
